country_code,region,year,emissions
EAP,East Asia & Pacific,1960,1232271.29595304
EAP,East Asia & Pacific,1961,1066777.45729867
EAP,East Asia & Pacific,1962,978885.156550887
EAP,East Asia & Pacific,1963,1024770.9794152
EAP,East Asia & Pacific,1964,1081082.186205
EAP,East Asia & Pacific,1965,1177370.21190644
EAP,East Asia & Pacific,1966,1271876.71015177
EAP,East Asia & Pacific,1967,1283871.33655245
EAP,East Asia & Pacific,1968,1425716.62699245
EAP,East Asia & Pacific,1969,1659111.60079762
EAP,East Asia & Pacific,1970,2054417.29432393
EAP,East Asia & Pacific,1971,2245063.04771069
EAP,East Asia & Pacific,1972,2364536.96518943
EAP,East Asia & Pacific,1973,2521716.7811023
EAP,East Asia & Pacific,1974,2547405.73755175
EAP,East Asia & Pacific,1975,2690218.03663181
EAP,East Asia & Pacific,1976,2825063.67222342
EAP,East Asia & Pacific,1977,3031270.82618705
EAP,East Asia & Pacific,1978,3204082.70869281
EAP,East Asia & Pacific,1979,3328648.29858783
EAP,East Asia & Pacific,1980,3323288.83916353
EAP,East Asia & Pacific,1981,3291061.41660171
EAP,East Asia & Pacific,1982,3412725.98057658
EAP,East Asia & Pacific,1983,3520967.72077469
EAP,East Asia & Pacific,1984,3766238.30453253
EAP,East Asia & Pacific,1985,3945521.70639864
EAP,East Asia & Pacific,1986,4089200.59399075
EAP,East Asia & Pacific,1987,4290089.20043409
EAP,East Asia & Pacific,1988,4644594.56787809
EAP,East Asia & Pacific,1989,4795868.19255863
EAP,East Asia & Pacific,1990,4510718.55970298
EAP,East Asia & Pacific,1991,4720763.24892372
EAP,East Asia & Pacific,1992,4894966.731127
EAP,East Asia & Pacific,1993,5200003.33023544
EAP,East Asia & Pacific,1994,5454570.44591379
EAP,East Asia & Pacific,1995,5905982.09442529
EAP,East Asia & Pacific,1996,5985307.65871805
EAP,East Asia & Pacific,1997,6115154.81204015
EAP,East Asia & Pacific,1998,6106797.07392102
EAP,East Asia & Pacific,1999,6140436.44879451
EAP,East Asia & Pacific,2000,6453028.35979368
EAP,East Asia & Pacific,2001,6698018.46633053
EAP,East Asia & Pacific,2002,7058162.00262331
EAP,East Asia & Pacific,2003,7756963.98432264
EAP,East Asia & Pacific,2004,8586193.0302042
EAP,East Asia & Pacific,2005,9349823.12678418
EAP,East Asia & Pacific,2006,10010057.8914188
EAP,East Asia & Pacific,2007,10693457.6386636
EAP,East Asia & Pacific,2008,10888327.6420295
EAP,East Asia & Pacific,2009,11372365.8077504
EAP,East Asia & Pacific,2010,12346726.5602484
EAP,East Asia & Pacific,2011,13329705.2149024
EAP,East Asia & Pacific,2012,13682264.0029243
EAP,East Asia & Pacific,2013,14151650.95297
EAP,East Asia & Pacific,2014,14186800.0867947
EAP,East Asia & Pacific,2015,14088624.7665387
EAP,East Asia & Pacific,2016,14132393.0790186
EAP,East Asia & Pacific,2017,14457773.4877706
EAP,East Asia & Pacific,2018,14982328.1974255
EAP,East Asia & Pacific,2019,15275883.7103709
EU,European Union,1960,1687910.91458641
EU,European Union,1961,1775816.56177005
EU,European Union,1962,1924617.38934089
EU,European Union,1963,2102660.95369133
EU,European Union,1964,2223323.73193578
EU,European Union,1965,2308396.11337154
EU,European Union,1966,2412860.62481499
EU,European Union,1967,2530014.73254742
EU,European Union,1968,2707669.08059311
EU,European Union,1969,2897623.80862301
EU,European Union,1970,3116397.71451264
EU,European Union,1971,3207027.87582959
EU,European Union,1972,3394658.75356932
EU,European Union,1973,3601853.47439237
EU,European Union,1974,3600834.64347697
EU,European Union,1975,3537180.60634133
EU,European Union,1976,3837936.05830539
EU,European Union,1977,3811572.37742716
EU,European Union,1978,3967127.25263941
EU,European Union,1979,4114434.17645228
EU,European Union,1980,4074379.23967724
EU,European Union,1981,3825160.6054786
EU,European Union,1982,3740677.77226917
EU,European Union,1983,3678981.26419569
EU,European Union,1984,3674224.81200077
EU,European Union,1985,3742372.00794871
EU,European Union,1986,3717496.50705926
EU,European Union,1987,3800176.35297459
EU,European Union,1988,3740672.04849998
EU,European Union,1989,3855628.22886436
EU,European Union,1990,3562590.0
EU,European Union,1991,3524670.0
EU,European Union,1992,3409700.0
EU,European Union,1993,3348870.0
EU,European Union,1994,3336400.0
EU,European Union,1995,3391600.0
EU,European Union,1996,3488790.0
EU,European Union,1997,3419620.0
EU,European Union,1998,3412010.0
EU,European Union,1999,3354420.0
EU,European Union,2000,3362380.0
EU,European Union,2001,3419490.0
EU,European Union,2002,3411189.9869442
EU,European Union,2003,3502199.99432564
EU,European Union,2004,3507500.00476837
EU,European Union,2005,3488149.98865128
EU,European Union,2006,3496999.94325638
EU,European Union,2007,3456569.96035576
EU,European Union,2008,3378879.98270988
EU,European Union,2009,3129210.00409126
EU,European Union,2010,3213189.98932839
EU,European Union,2011,3118369.98820305
EU,European Union,2012,3059130.00750542
EU,European Union,2013,2982339.98727799
EU,European Union,2014,2836770.03216743
EU,European Union,2015,2895699.9617815
EU,European Union,2016,2905110.00978947
EU,European Union,2017,2926620.00274658
EU,European Union,2018,2862280.02619743
EU,European Union,2019,2724969.99752522
LCN,Latin America & Caribbean,1960,302630.89494426
LCN,Latin America & Caribbean,1961,309662.067320706
LCN,Latin America & Caribbean,1962,328908.412046063
LCN,Latin America & Caribbean,1963,328599.312099281
LCN,Latin America & Caribbean,1964,354343.985980036
LCN,Latin America & Caribbean,1965,365326.344330152
LCN,Latin America & Caribbean,1966,383205.727998821
LCN,Latin America & Caribbean,1967,413009.666240927
LCN,Latin America & Caribbean,1968,438970.337674855
LCN,Latin America & Caribbean,1969,477611.555118327
LCN,Latin America & Caribbean,1970,527138.30442256
LCN,Latin America & Caribbean,1971,552797.324101196
LCN,Latin America & Caribbean,1972,578914.407556387
LCN,Latin America & Caribbean,1973,632157.804413491
LCN,Latin America & Caribbean,1974,666400.864782874
LCN,Latin America & Caribbean,1975,674556.63446302
LCN,Latin America & Caribbean,1976,717864.143874174
LCN,Latin America & Caribbean,1977,739110.110095743
LCN,Latin America & Caribbean,1978,793615.975410185
LCN,Latin America & Caribbean,1979,849417.826043664
LCN,Latin America & Caribbean,1980,892405.063220802
LCN,Latin America & Caribbean,1981,883057.582902461
LCN,Latin America & Caribbean,1982,907204.619708886
LCN,Latin America & Caribbean,1983,865409.093169942
LCN,Latin America & Caribbean,1984,879966.583434643
LCN,Latin America & Caribbean,1985,907461.582315247
LCN,Latin America & Caribbean,1986,924540.285398879
LCN,Latin America & Caribbean,1987,970838.243692753
LCN,Latin America & Caribbean,1988,994035.636084366
LCN,Latin America & Caribbean,1989,1052388.49230273
LCN,Latin America & Caribbean,1990,902966.21815323
LCN,Latin America & Caribbean,1991,929315.081764644
LCN,Latin America & Caribbean,1992,946681.378235803
LCN,Latin America & Caribbean,1993,971639.720154318
LCN,Latin America & Caribbean,1994,1016227.76246747
LCN,Latin America & Caribbean,1995,1041064.30686544
LCN,Latin America & Caribbean,1996,1110793.38737792
LCN,Latin America & Caribbean,1997,1180898.01024542
LCN,Latin America & Caribbean,1998,1229403.8728028
LCN,Latin America & Caribbean,1999,1222461.41413169
LCN,Latin America & Caribbean,2000,1263172.23537413
LCN,Latin America & Caribbean,2001,1268338.48020395
LCN,Latin America & Caribbean,2002,1273393.08774393
LCN,Latin America & Caribbean,2003,1294382.85816724
LCN,Latin America & Caribbean,2004,1351871.28357016
LCN,Latin America & Caribbean,2005,1396987.1284061
LCN,Latin America & Caribbean,2006,1440012.06090213
LCN,Latin America & Caribbean,2007,1486985.31866568
LCN,Latin America & Caribbean,2008,1531593.65807309
LCN,Latin America & Caribbean,2009,1502504.35542556
LCN,Latin America & Caribbean,2010,1594532.5361977
LCN,Latin America & Caribbean,2011,1659887.04278781
LCN,Latin America & Caribbean,2012,1735442.15726963
LCN,Latin America & Caribbean,2013,1777868.23899109
LCN,Latin America & Caribbean,2014,1786952.31379313
LCN,Latin America & Caribbean,2015,1776335.65407916
LCN,Latin America & Caribbean,2016,1732478.37718888
LCN,Latin America & Caribbean,2017,1710839.01012006
LCN,Latin America & Caribbean,2018,1670331.18822743
LCN,Latin America & Caribbean,2019,1652376.19554531
MEA,Middle East & North Africa,1960,98968.8711075697
MEA,Middle East & North Africa,1961,105216.515658862
MEA,Middle East & North Africa,1962,114919.129723501
MEA,Middle East & North Africa,1963,133496.489758526
MEA,Middle East & North Africa,1964,155160.877931676
MEA,Middle East & North Africa,1965,184939.934341677
MEA,Middle East & North Africa,1966,211470.299522369
MEA,Middle East & North Africa,1967,225756.446796897
MEA,Middle East & North Africa,1968,261319.130174593
MEA,Middle East & North Africa,1969,303335.046186728
MEA,Middle East & North Africa,1970,322672.669177952
MEA,Middle East & North Africa,1971,363150.699647785
MEA,Middle East & North Africa,1972,390457.365903658
MEA,Middle East & North Africa,1973,460935.201904397
MEA,Middle East & North Africa,1974,467866.724300795
MEA,Middle East & North Africa,1975,461832.914996075
MEA,Middle East & North Africa,1976,545327.590826142
MEA,Middle East & North Africa,1977,574150.067712225
MEA,Middle East & North Africa,1978,605319.843583924
MEA,Middle East & North Africa,1979,636916.401089371
MEA,Middle East & North Africa,1980,646136.356039144
MEA,Middle East & North Africa,1981,626850.241176131
MEA,Middle East & North Africa,1982,632516.135279344
MEA,Middle East & North Africa,1983,675448.160143231
MEA,Middle East & North Africa,1984,723163.082626714
MEA,Middle East & North Africa,1985,764752.217005099
MEA,Middle East & North Africa,1986,816348.644864484
MEA,Middle East & North Africa,1987,827658.358158818
MEA,Middle East & North Africa,1988,883735.993172562
MEA,Middle East & North Africa,1989,913084.5887968
MEA,Middle East & North Africa,1990,863944.09564656
MEA,Middle East & North Africa,1991,888015.939321849
MEA,Middle East & North Africa,1992,959739.183060535
MEA,Middle East & North Africa,1993,1021536.30762093
MEA,Middle East & North Africa,1994,1097248.08305373
MEA,Middle East & North Africa,1995,1129648.6238938
MEA,Middle East & North Africa,1996,1168850.76664045
MEA,Middle East & North Africa,1997,1224087.40959819
MEA,Middle East & North Africa,1998,1228517.99518283
MEA,Middle East & North Africa,1999,1273868.7056796
MEA,Middle East & North Africa,2000,1331978.69892579
MEA,Middle East & North Africa,2001,1398065.7555602
MEA,Middle East & North Africa,2002,1448922.05324402
MEA,Middle East & North Africa,2003,1501807.7484326
MEA,Middle East & North Africa,2004,1585737.74344895
MEA,Middle East & North Africa,2005,1691177.65220001
MEA,Middle East & North Africa,2006,1788650.49480168
MEA,Middle East & North Africa,2007,1871053.37281157
MEA,Middle East & North Africa,2008,1984028.27210739
MEA,Middle East & North Africa,2009,2048397.3414791
MEA,Middle East & North Africa,2010,2137451.10336531
MEA,Middle East & North Africa,2011,2181184.30633576
MEA,Middle East & North Africa,2012,2303331.82783752
MEA,Middle East & North Africa,2013,2349215.0419377
MEA,Middle East & North Africa,2014,2425559.73120065
MEA,Middle East & North Africa,2015,2462903.24643204
MEA,Middle East & North Africa,2016,2487798.92371207
MEA,Middle East & North Africa,2017,2527654.08140956
MEA,Middle East & North Africa,2018,2512483.59787247
MEA,Middle East & North Africa,2019,2555925.49068558
NAC,North America,1960,3084636.08161586
NAC,North America,1961,3075748.38463442
NAC,North America,1962,3195470.02795975
NAC,North America,1963,3331448.4905264
NAC,North America,1964,3495003.38970325
NAC,North America,1965,3644304.22760486
NAC,North America,1966,3822498.33381965
NAC,North America,1967,3978962.8829077
NAC,North America,1968,4136307.76516768
NAC,North America,1969,4333594.09704833
NAC,North America,1970,4671961.15583786
NAC,North America,1971,4710963.5834085
NAC,North America,1972,4947765.87054341
NAC,North America,1973,5153723.48416741
NAC,North America,1974,4990337.31551519
NAC,North America,1975,4805313.29110831
NAC,North America,1976,5014330.06250471
NAC,North America,1977,5152380.97608025
NAC,North America,1978,5308709.80713763
NAC,North America,1979,5345863.53504726
NAC,North America,1980,5168366.35926024
NAC,North America,1981,4967621.05162494
NAC,North America,1982,4723313.92419947
NAC,North America,1983,4752383.25914702
NAC,North America,1984,4902641.45937309
NAC,North America,1985,4916499.37072096
NAC,North America,1986,4902348.01498245
NAC,North America,1987,5121767.39002696
NAC,North America,1988,5350764.05637091
NAC,North America,1989,5420695.52271478
NAC,North America,1990,5265754.99638776
NAC,North America,1991,5222530.67246096
NAC,North America,1992,5307758.91588987
NAC,North America,1993,5419055.79809528
NAC,North America,1994,5505394.40948436
NAC,North America,1995,5566934.80309641
NAC,North America,1996,5737091.19050555
NAC,North America,1997,6022165.66013433
NAC,North America,1998,6077343.94543408
NAC,North America,1999,6105323.21736726
NAC,North America,2000,6292115.11754896
NAC,North America,2001,6256953.46547705
NAC,North America,2002,6119407.64548881
NAC,North America,2003,6205586.65564846
NAC,North America,2004,6276790.06101563
NAC,North America,2005,6304609.52168884
NAC,North America,2006,6195663.2621964
NAC,North America,2007,6310040.88699582
NAC,North America,2008,6110874.91063515
NAC,North America,2009,5679632.3325619
NAC,North America,2010,5931085.35046068
NAC,North America,2011,5724787.1888178
NAC,North America,2012,5504094.05913314
NAC,North America,2013,5649632.2786656
NAC,North America,2014,5670769.16594222
NAC,North America,2015,5551249.57838034
NAC,North America,2016,5453137.1092474
NAC,North America,2017,5389236.05053198
NAC,North America,2018,5557241.67638117
NAC,North America,2019,5399719.62717939
